Country,Sex,Year,BMI
Congo,Male,2018,4.3
Congo,Female,2018,11.5
Cook Islands,Both sexes,2023,55.9
Cook Islands,Male,2023,52.6
Cook Islands,Female,2023,59.2
Cook Islands,Both sexes,2022,55.4
Cook Islands,Male,2022,52
Cook Islands,Female,2022,58.8
Cook Islands,Both sexes,2021,54.9
Cook Islands,Male,2021,51.3
Cook Islands,Female,2021,58.4
Cook Islands,Both sexes,2020,54.3
Cook Islands,Male,2020,50.7
Cook Islands,Female,2020,58
Cook Islands,Both sexes,2019,53.8
Cook Islands,Male,2019,50
Cook Islands,Female,2019,57.6
Cook Islands,Both sexes,2018,53.2
Cook Islands,Male,2018,49.3
Cook Islands,Female,2018,57.2
Costa Rica,Both sexes,2023,25.7
Costa Rica,Male,2023,21.1
Costa Rica,Female,2023,30.4
Costa Rica,Both sexes,2022,25
Costa Rica,Male,2022,20.3
Costa Rica,Female,2022,29.7
Costa Rica,Both sexes,2021,24.3
Costa Rica,Male,2021,19.6
Costa Rica,Female,2021,29
Costa Rica,Both sexes,2020,23.6
Costa Rica,Male,2020,18.9
Costa Rica,Female,2020,28.3
Costa Rica,Both sexes,2019,22.9
Costa Rica,Male,2019,18.1
Costa Rica,Female,2019,27.6
Costa Rica,Both sexes,2018,22.2
Costa Rica,Male,2018,17.4
Costa Rica,Female,2018,26.9
Côte d'Ivoire,Both sexes,2023,10.3
Côte d'Ivoire,Male,2023,5.8
Côte d'Ivoire,Female,2023,15.2
Côte d'Ivoire,Both sexes,2022,9.8
Côte d'Ivoire,Male,2022,5.5
Côte d'Ivoire,Female,2022,14.7
Côte d'Ivoire,Both sexes,2021,9.4
Côte d'Ivoire,Male,2021,5.2
Côte d'Ivoire,Female,2021,14.2
Côte d'Ivoire,Both sexes,2020,9
Côte d'Ivoire,Male,2020,4.9
Côte d'Ivoire,Female,2020,13.7
Côte d'Ivoire,Both sexes,2019,8.7
Côte d'Ivoire,Male,2019,4.7
Côte d'Ivoire,Female,2019,13.2
Côte d'Ivoire,Both sexes,2018,8.3
Côte d'Ivoire,Male,2018,4.4
Côte d'Ivoire,Female,2018,12.7
Croatia,Both sexes,2023,24.4
Croatia,Male,2023,24.1
Croatia,Female,2023,24.5
Croatia,Both sexes,2022,23.9
Croatia,Male,2022,23.5
Croatia,Female,2022,24.1
Croatia,Both sexes,2021,23.4
Croatia,Male,2021,22.9
Croatia,Female,2021,23.7
Croatia,Both sexes,2020,22.9
Croatia,Male,2020,22.3
Croatia,Female,2020,23.3
Croatia,Both sexes,2019,22.5
Croatia,Male,2019,21.8
Croatia,Female,2019,22.9
Croatia,Both sexes,2018,22
Croatia,Male,2018,21.2
Croatia,Female,2018,22.6
Cuba,Both sexes,2023,24.6
Cuba,Male,2023,18.9
Cuba,Female,2023,30.3
Cuba,Both sexes,2022,24.1
Cuba,Male,2022,18.4
Cuba,Female,2022,29.9
Cuba,Both sexes,2021,23.6
Cuba,Male,2021,17.8
Cuba,Female,2021,29.4
Cuba,Both sexes,2020,23.1
Cuba,Male,2020,17.3
Cuba,Female,2020,29
Cuba,Both sexes,2019,22.6
Cuba,Male,2019,16.7
Cuba,Female,2019,28.5
Cuba,Both sexes,2018,22.2
Cuba,Male,2018,16.2
